token,score
irai,5.0
https,4.56
t,6.09
co,6.35
kexskz5ayq,5.0
26,5.27
rt,5.62
j,6.62
adore,6.1
le,7.76
cinéma,6.49
et,6.81
les,6.43
séries,5.23
américaines,5.0
27,5.44
c,6.35
est,6.17
le,7.76
manque,6.33
d,5.91
une,7.07
personne,6.02
qui,6.16
dans,6.67
ta,6.73
tête,5.75
résonne,5.0
28,5.35
marc,6.55
trévidic,5.0
le,7.76
prouve,5.57
un,4.86
bon,8.13
juge,5.2
ne,5.81
fait,5.63
pas,5.86
toujours,6.59
un,4.86
bon,8.13
romancier,5.0
https,4.56
t,6.09
co,6.35
zm2xpzh0dj,5.0
culture,5.38
29,5.35
apt,5.31
dans,6.67
le,7.76
vaucluse,4.23
30,5.47
rt,5.62
à,7.29
quand,5.21
le,7.76
bac,5.66
vert,6.83
mdr,4.96
31,5.17
depuis,6.45
que,5.08
j,6.62
ai,5.57
réussi,5.0
a,5.78
bypass,4.38
le,7.76
proxy,4.29
le,7.76
début,6.21
avance,4.83
beaucoup,5.51
moins,6.27
vite,6.62
merci,5.79
wcs,4.88
https,4.56
t,6.09
co,6.35
u80sxgpuvl,5.0
32,5.0
franchement,5.0
je,6.19
m,5.94
agace,5.0
j,6.62
ai,5.57
même,6.66
pas,5.86
avancé,5.0
le,7.76
truc,4.91
c,6.35
est,6.17
que,5.08
je,6.19
sais,4.66
quoi,4.32
mettre,5.0
dans,6.67
ce,6.34
putain,5.0
de,6.24
dossier,4.72
mais,5.7
flemmmmmmmme,5.0
de,6.24
rédiger,5.0
33,4.91
rt,5.62
aujourd,5.45
hui,5.15
pour,6.17
ça,5.21
été,5.74
bien,5.58
dur,5.06
à,7.29
me,6.01
supporter,6.33
entre,5.2
la,5.78
bagarre,5.0
et,6.81
l,6.15
endurance,6.48
je,6.19
le,7.76
kiff,4.04
et,6.81
il,5.33
me,6.01
kiff,4.04
34,4.96
rt,5.62
il,5.33
neige,5.43
chez,7.17
tout,6.58
le,7.76
monde,6.69
sauf,5.0
chez,7.17
moi,5.82
35,5.1
rt,5.62
de,6.24
toute,4.7
façon,5.0
on,6.06
est,6.17
toujours,6.59
déçu,5.0
des,5.91
personnes,4.58
qu,6.09
on,6.06
aime,6.4
le,7.76
plus,6.56
36,5.06
rt,5.62
l,6.15
ol,6.03
était,5.93
tombé,5.0
du,7.73
podium,5.82
le,7.76
27,5.44
novembre,5.3
après,5.7
une,7.07
défaite,5.0
face,4.17
à,7.29
montpellier,6.49
il,5.33
aura,6.23
fallu,5.0
3,5.99
mois,6.3
et,6.81
14,5.6
matchs,5.0
pour,6.17
le,7.76
39,4.82
rt,5.62
scandales,5.0
dans,6.67
le,7.76
sport,6.72
les,6.43
champions,5.36
de,6.24
la,5.78
triche,4.74
https,4.56
t,6.09
co,6.35
wl76hiqudh,5.0
https,4.56
t,6.09
co,6.35
xr64ffsgke,5.0
40,4.98
rt,5.62
des,5.91
animaux,4.54
empoisonnés,5.0
dans,6.67
le,7.76
parc,5.76
kruger,5.74
en,4.83
afrique,4.39
du,7.73
sud,6.73
https,4.56
t,6.09
co,6.35
qzdrtwfztb,5.0
https,4.56
t,6.09
co,6.35
qhxba9elzg,5.0
41,4.74
rt,5.62
tenue,3.91
provocante,5.0
blablabla,5.0
ça,5.21
encore,6.93
un,4.86
concept,6.52
inventé,5.0
par,6.17
les,6.43
hommes,5.55
pour,6.17
justifier,5.0
le,7.76
viol,6.49
42,4.8
rt,5.62
transfert,5.0
selon,5.65
la,5.78
sexta,4.94
neymar,5.42
discuterait,5.0
toujours,6.59
avec,6.72
le,7.76
psg,5.8
https,4.56
t,6.09
co,6.35
eqyorurz4n,5.0
43,4.79
rt,5.62
oui,4.98
il,5.33
ya,6.0
dans,6.67
tout,6.58
les,6.43
sephora,5.83
mais,5.7
va,4.51
dans,6.67
un,4.86
grand,6.64
sephora,5.83
pour,6.17
trouver,5.0
une,7.07
teinte,5.0
foncé,5.0
ou,5.94
sur,6.28
44,5.01
rt,5.62
je,6.19
ne,5.81
verrai,5.0
sans,5.94
doute,5.0
jamais,5.72
mes,4.25
autres,3.74
idoles,5.0
mais,5.7
j,6.62
aimerais,5.0
tellement,5.0
le,7.76
voir,4.7
au,7.33
moinslui,5.0
svp,6.06
jus,5.92
45,5.03
rt,5.62
plus,6.56
de,6.24
la,5.78
moitié,5.0
des,5.91
adolescents,3.9
manquent,5.0
de,6.24
sommeil,5.08
à,7.29
cause,3.25
des,5.91
cours,6.41
qui,6.16
commencent,5.0
tôt,5.0
le,7.76
matin,7.3
46,4.66
après,5.7
la,5.78
neige,5.43
le,7.76
beau,8.27
temps,5.32
saintdenis,5.0
auboulot,5.0
https,4.56
t,6.09
co,6.35
889jyqgplu,5.0
47,4.75
forum,5.79
bière,4.99
19,5.42
mars,5.82
2016,4.44
fête,4.89
de,6.24
la,5.78
bière,4.99
de,6.24
poligny,2.68
pour,6.17
cette,5.98
onzième,5.0
édition,5.14
le,7.76
samedi,6.65
19,5.42
mars,5.82
https,4.56
t,6.09
co,6.35
uwtmumt8nz,5.0
biere,4.89
48,4.55
rt,5.62
jui,4.85
mort,7.65
le,7.76
son,6.73
https,4.56
t,6.09
co,6.35
xwfvp0rutu,5.0
49,4.51
rt,5.62
vidéo,4.79
afrique,4.39
du,7.73
sud,6.73
couper,5.42
les,6.43
cornes,5.81
des,5.91
rhinocéros,5.0
pour,6.17
éviter,5.0
le,7.76
braconnage,5.0
https,4.56
t,6.09
co,6.35
isrdkduqev,5.0
https,4.56
t,6.09
co,6.35
yt8iqibo,5.0
50,4.92
maxime_legoff,5.0
carlitodnole,5.0
sinon,4.16
vous,6.27
avez,5.0
le,7.76
droit,5.52
de,6.24
lire,4.35
l,6.15
itw,3.38
pour,6.17
comprendre,5.0
le,7.76
sens,6.6
de,6.24
la,5.78
citation,5.28
culture,5.38
51,4.72
rt,5.62
nein,3.84
la,5.78
france,5.73
n,6.26
est,6.17
plus,6.56
le,7.76
premier,6.66
partenaire,5.0
commercial,5.04
de,6.24
l,6.15
allemagne,4.03
https,4.56
t,6.09
co,6.35
nxmuzshjgw,5.0
https,4.56
t,6.09
co,6.35
sjbfsl,5.0
52,4.6
rt,5.62
booba,5.15
il,5.33
a,5.78
juste,6.45
dit,6.0
vivement,5.0
l,6.15
été,5.74
pourvu,5.0
qu,6.09
il,5.33
neige,5.43
il,5.33
a,5.78
déréglé,5.0
le,7.76
climat,5.49
54,4.67
dans,6.67
le,7.76
10eme,5.0
c,6.35
est,6.17
un,4.86
truc,4.91
de,6.24
fou,7.49
https,4.56
t,6.09
co,6.35
3v6uiyhkqx,5.0
55,4.74
rt,5.62
rendez,6.15
vous,6.27
le,7.76
6,6.13
mars,5.82
2016,4.44
à,7.29
l,6.15
esplanade,6.74
du,7.73
palais,7.15
du,7.73
peuple,5.7
festival,6.32
des,5.91
grillades,5.0
big,5.52
up,5.75
à,7.29
tous,5.86
mes,4.25
fans,5.47
https,4.56
t,6.09
co,6.35
57,4.55
ha,5.41
au,7.33
fait,5.63
on,6.06
en,4.83
est,6.17
où,5.69
avec,6.72
le,7.76
respect,5.9
il,5.33
est,6.17
tjr,5.0
pas,5.86
revenu,5.9
hein,5.91
https,4.56
t,6.09
co,6.35
i0w9idoium,5.0
58,4.42
si,6.96
il,5.33
me,6.01
buy,5.94
le,7.76
jeu,6.51
je,6.19
viens,5.44
59,4.39
can,5.47
n,6.26
as,6.16
pu,5.77
assez,5.0
de,6.24
place,6.25
dans,6.67
le,7.76
garage,6.04
https,4.56
t,6.09
co,6.35
8jojuusufy,5.0
60,4.46
rt,5.62
c,6.35
est,6.17
quoi,4.32
le,7.76
pire,4.26
des,5.91
gros,6.93
mots,5.06
cette,5.98
vidéo,4.79
elle,7.61
est,6.17
magnifique,6.52
mdrrr,5.0
https,4.56
t,6.09
co,6.35
0n5f1u42yf,5.0
62,4.59
rt,5.62
c,6.35
dingue,5.0
cette,5.98
vache,5.85
qui,6.16
traduit,5.0
pr,4.06
les,6.43
sourds,5.0
amp,7.04
malentendants,5.0
le,7.76
discours,5.07
de,6.24
marine,6.27
lepen,5.0
salondelagriculture,5.0
fn,6.55
https,4.56
63,4.34
le,7.76
bonheur,7.18
sera,6.05
t,6.09
il,5.33
de,6.24
courte,5.22
durée,5.0
65,4.67
bon,8.13
sur,6.28
le,7.76
dessin,4.96
il,5.33
y,5.74
a,5.78
quand,5.21
même,6.66
au,7.33
moins,6.27
25,5.67
30,5.47
ans,5.18
de,6.24
moins,6.27
https,4.56
t,6.09
co,6.35
lqztoxthq6,5.0
66,4.65
rt,5.62
moi,5.82
en,4.83
essayant,5.0
d,5.91
obtenir,5.0
la,5.78
bonne,6.96
température,5.0
pendant,6.14
le,7.76
sommeil,5.08
http,4.9
t,6.09
co,6.35
dmczifad73,5.0
67,4.67
vu,4.76
le,7.76
ciel,6.95
moi,5.82
je,6.19
dis,5.02
dans,6.67
15mn,5.0
il,5.33
fait,5.63
soleil,6.46
pas,5.86
du,7.73
tout,6.58
schizo,5.52
le,7.76
temps,5.32
aujourd,5.45
hui,5.15
pointmétéo,5.0
68,4.57
quand,5.21
j,6.62
ai,5.57
bu,5.69
mon,6.36
lait,7.01
ca,4.38
a,5.78
fait,5.63
le,7.76
bruit,4.76
des,5.91
dread,3.47
doctors,3.9
quand,5.21
ils,5.46
arrivent,5.0
la,5.78
j,6.62
suis,5.84
morte,6.34
69,4.84
bonjour,5.74
vous,6.27
pouvez,5.0
refuser,5.0
le,7.76
colis,5.0
et,6.81
être,5.76
intégralement,5.0
remboursée,5.0
si,6.96
vous,6.27
le,7.76
souhaitez,5.0
1,5.95
2,6.18
70,4.49
rt,5.62
g,6.46
t,6.09
sur,6.28
le,7.76
point,6.05
de,6.24
te,6.87
rt,5.62
en,4.83
notifiant,5.0
le,7.76
ministère,5.39
de,6.24
la,5.78
justice,5.39
la,5.78
police,4.95
mais,5.7
au,7.33
dernier,5.31
moment,4.81
je,6.19
me,6.01
71,4.41
rt,5.62
le,7.76
rer,6.24
d,5.91
il,5.33
est,6.17
relou,5.0
y,5.74
a,5.78
toute,4.7
l,6.15
afrique,4.39
dedans,5.0
pour,6.17
t,6.09
asseoir,5.0
c,6.35
est,6.17
le,7.76
marathon,5.25
a,5.78
la,5.78
la,5.78
72,4.13
zoolander,5.93
2,6.18
quand,5.21
le,7.76
cinéma,6.49
parodie,5.0
la,5.78
mode,6.52
https,4.56
t,6.09
co,6.35
lzyhkg5bob,5.0
culture,5.38
73,4.26
rt,5.62
le,7.76
viol,6.49
n,6.26
est,6.17
pas,5.86
justifiable,4.12
mais,5.7
une,7.07
fille,6.47
qui,6.16
joue,5.0
la,5.78
pute,5.0
seins,5.0
a,5.78
l,6.15
air,5.25
et,6.81
tout,6.58
bah,5.68
elle,7.61
l,6.15
a,5.78
cherché,5.0
faut,6.37
arreter,5.0
74,4.07
quand,5.21
le,7.76
prof,5.48
te,6.87
dit,6.0
de,6.24
trouver,5.0
un,4.86
partenaire,5.0
et,6.81
que,5.08
ton,6.36
meilleur,6.65
pote,4.37
te,6.87
regarde,5.0
mdrrr,5.0
https,4.56
t,6.09
co,6.35
mkcmkw4ofy,5.0
76,4.15
philippines,3.93
le,7.76
corps,6.19
momifié,5.0
d,5.91
un,4.86
allemand,5.46
retrouvé,5.0
sur,6.28
un,4.86
yacht,7.16
à,7.29
la,5.78
dérive,5.0
https,4.56
t,6.09
co,6.35
vcidjtywfa,5.0
77,3.82
l,6.15
académie,6.32
européenne,5.12
du,7.73
cinéma,6.49
défend,5.0
le,7.76
film,5.44
oscarisé,5.0
ida,5.14
https,4.56
t,6.09
co,6.35
m5cfxaznrr,5.0
culture,5.38
79,3.79
rt,5.62
le,7.76
foll,5.11
accuse,3.63
sarkozy,6.02
de,6.24
petit,8.57
débat,5.0
politicien,5.0
sur,6.28
la,5.78
crise,4.01
agricole,6.02
https,4.56
t,6.09
co,6.35
2z8riuaitt,5.0
https,4.56
t,6.09
co,6.35
fguwoxqylu,5.0
80,4.34
rt,5.62
booba,5.15
il,5.33
a,5.78
juste,6.45
dit,6.0
vivement,5.0
l,6.15
été,5.74
pourvu,5.0
qu,6.09
il,5.33
neige,5.43
il,5.33
a,5.78
déréglé,5.0
le,7.76
climat,5.49
81,3.84
rt,5.62
jve,5.0
une,7.07
meuf,5.0
qui,6.16
fai,6.39
1m55,5.0
comme,6.58
ça,5.21
elle,7.61
se,5.9
pose,3.33
sur,6.28
mon,6.36
épaule,5.0
comme,6.58
un,4.86
ptit,5.0
perroquet,5.0
82,4.12
j,6.62
aime,6.4
une,7.07
vidéo,4.79
tour,6.5
de,6.24
magie,5.32
n,6.26
5,6.12
et,6.81
son,6.73
explication,5.37
le,7.76
secret,4.52
d,5.91
un,4.86
bon,8.13
tour,6.5
à,7.29
l,6.15
adresse,5.0
https,4.56
t,6.09
co,6.35
pu7zprqtux,5.0
83,3.96
rt,5.62
les,6.43
gens,5.98
qui,6.16
me,6.01
parle,5.25
à,7.29
l,6.15
arrêt,5.0
de,6.24
bus,5.25
pour,6.17
savoir,6.37
les,6.43
horraires,5.0
regarde,5.0
le,7.76
panneau,5.0
ta,6.73
mère,5.27
le,7.76
poulpe,5.0
nan,6.65
84,3.77
cinéma,6.49
la,5.78
route,5.3
de,6.24
l,6.15
amour,7.54
passe,5.75
par,6.17
le,7.76
vin,7.79
https,4.56
t,6.09
co,6.35
fg34iy1ope,5.0
culture,5.38
85,4.02
mi,5.77
pluie,4.59
mi,5.77
neige,5.43
le,7.76
truc,4.91
qui,6.16
tient,5.0
pas,5.86
et,6.81
qui,6.16
sert,4.53
à,7.29
rien,5.74
86,3.45
le,7.76
modern,6.1
express,5.6
redressé,5.0
dans,6.67
le,7.76
port,6.35
de,6.24
bilbao,4.94
https,4.56
t,6.09
co,6.35
y5ivkohl01,5.0
navire,5.0
87,3.66
rt,5.62
jean,6.9
louis,6.77
je,6.19
ne,5.81
te,6.87
félicite,5.0
pas,5.86
tu,5.59
as,6.16
très,5.87
mal,5.83
préparé,5.0
le,7.76
match,5.72
pendant,6.14
que,5.08
j,6.62
étais,5.0
au,7.33
golf,6.99
https,4.56
t,6.09
co,6.35
2awowmlklx,5.0
88,4.25
le,7.76
canton,5.4
de,6.24
genève,5.25
porte,5.68
plainte,5.0
contre,4.51
la,5.78
centrale,6.59
nucléaire,5.03
du,7.73
bugey,5.22
https,4.56
t,6.09
co,6.35
cv4qc9kr9o,5.0
90,4.0
sia2016,5.0
catherine,7.67
botti,5.43
mofprimeur,5.0
a,5.78
enchanté,5.0
les,6.43
visiteurs,5.15
avec,6.72
ses,6.19
corbeilles,5.0
et,6.81
découpes,5.0
sur,6.28
le,7.76
stand,5.58
fruits,6.05
et,6.81
légumes,5.0
frais,5.25
91,3.74
rt,5.62
booba,5.15
il,5.33
a,5.78
juste,6.45
dit,6.0
vivement,5.0
l,6.15
été,5.74
pourvu,5.0
qu,6.09
il,5.33
neige,5.43
il,5.33
a,5.78
déréglé,5.0
le,7.76
climat,5.49
92,4.09
la,5.78
fois,6.11
où,5.69
j,6.62
ai,5.57
pris,5.14
le,7.76
bus,5.25
15,5.68
et,6.81
que,5.08
une,7.07
dizaine,5.0
de,6.24
minute,5.16
après,5.7
j,6.62
apprends,5.0
que,5.08
l,6.15
un,4.86
d,5.91
entre,5.2
eux,5.62
a,5.78
prit,5.0
feu,5.89
93,3.8
rt,5.62
j,6.62
ai,5.57
trouvé,4.97
une,7.07
meuf,5.0
qui,6.16
se,5.9
trouve,5.3
tellement,5.0
bonne,6.96
qu,6.09
elle,7.61
se,5.9
film,5.44
en,4.83
train,5.15
de,6.24
bouffer,5.0
stp,5.46
où,5.69
va,4.51
le,7.76
monde,6.69
https,4.56
t,6.09
co,6.35
94,3.99
rt,5.62
rtsi,5.0
juif,4.72
tu,5.59
coupe,8.53
le,7.76
gaz,5.41
entre,5.2
19h39,5.0
et,6.81
19h45,5.0
on,6.06
sait,5.19
jamais,5.72
zerma,5.0
101,4.18
rt,5.62
le,7.76
poisson,5.36
ne,5.81
vous,6.27
dit,6.0
pas,5.86
qu,6.09
il,5.33
vous,6.27
aime,6.4
il,5.33
vous,6.27
le,7.76
montre,5.0
103,3.63
rt,5.62
i,6.13
suffit,5.0
que,5.08
booba,5.15
dise,5.0
vivement,5.0
l,6.15
été,5.74
pourvu,5.0
qu,6.09
il,5.33
neige,5.43
pour,6.17
déréglé,5.0
tt,6.13
la,5.78
météo,5.11
nationale,5.65
le,7.76
temp,3.75
i,6.13
c,6.35
pa,4.3
si,6.96
i,6.13
doit,6.08
neige,5.43
116,3.91
article,4.53
le,7.76
parisien,6.15
https,4.56
t,6.09
co,6.35
aalas17jf6,5.0
125,4.24
c,6.35
est,6.17
tellement,5.0
bon,8.13
de,6.24
pas,5.86
avoir,5.06
cours,6.41
le,7.76
mercredi,5.37
aprem,5.0
126,3.92
encore,6.93
quelques,5.41
petites,4.7
heures,5.69
pour,6.17
remporter,5.0
le,7.76
t,6.09
shirt,6.54
nier,5.44
https,4.56
t,6.09
co,6.35
uou4m2a1r5,5.0
127,4.19
le,7.76
salaire,5.0
de,6.24
blatter,5.16
connu,5.0
fin,6.35
mars,5.82
https,4.56
t,6.09
co,6.35
qulo6q0wwn,5.0
https,4.56
t,6.09
co,6.35
ogry9sgrxk,5.0
123actusport,5.0
info,6.23
sport,6.72
128,4.49
rt,5.62
voici,5.31
le,7.76
teaser,5.23
du,7.73
clip,6.52
de,6.24
indépendantes,5.0
de,6.24
bientôt,5.0
dans,6.67
https,4.56
t,6.09
co,6.35
3tmg2iqce3,5.0
htt,4.72
129,3.72
rt,5.62
parfois,5.0
un,4.86
arbre,4.52
humanise,4.26
mieux,5.58
un,4.86
paysage,6.08
que,5.08
ne,5.81
le,7.76
ferait,5.0
un,4.86
homme,7.1
gilbertcesbron,5.0
https,4.56
t,6.09
co,6.35
wmqdbzmg5x,5.0
130,3.86
le,7.76
pas,5.86
est,6.17
de,6.24
trop,4.65
131,3.96
rt,5.62
ahahahaha,5.0
jsuis,5.0
ko,5.54
le,7.76
gars,5.81
il,5.33
a,5.78
eu,4.66
peur,4.02
de,6.24
souuuurd,5.0
https,4.56
t,6.09
co,6.35
nbehllhfql,5.0
132,4.12
tu,5.59
as,6.16
tué,5.0
et,6.81
mangé,5.0
le,7.76
coloc,5.0
précédent,5.0
134,4.22
ptdrrrrrrr,5.0
le,7.76
gars,5.81
y,5.74
ma,6.33
tuer,4.16
135,4.22
plus,6.56
que,5.08
quelques,5.41
jours,5.77
pour,6.17
sauver,5.0
le,7.76
musée,6.43
des,5.91
tissus,5.0
de,6.24
lyon,6.34
https,4.56
t,6.09
co,6.35
oyblylavwx,5.0
culture,5.38
136,4.2
rt,5.62
concours,5.67
un,4.86
pack,7.3
ps4,4.33
edition,6.81
blanche,7.42
écran,5.0
asus,4.69
gaming,5.41
à,7.29
gagner,6.29
rt,5.62
ce,6.34
tweet,4.87
et,6.81
follow,4.96
le,7.76
compte,5.67
ht,5.34
137,4.24
rt,5.62
jsuis,5.0
tellement,5.0
fatigué,5.0
h24,5.0
que,5.08
mtn,5.87
la,5.78
fatigue,3.01
jla,3.62
sent,4.81
même,6.66
plus,6.56
elle,7.61
fait,5.63
partie,5.12
de,6.24
moi,5.82
on,6.06
prend,5.0
le,7.76
thé,5.59
ensemble,6.63
parfois,5.0
138,4.24
bayern,4.68
munich,4.11
javi,5.64
martinez,5.85
retouche,5.0
le,7.76
ballon,5.92
https,4.56
t,6.09
co,6.35
csq5ngr7gh,5.0
https,4.56
t,6.09
co,6.35
jwuorupl8l,5.0
123actusport,5.0
info,6.23
sport,6.72
139,4.43
rt,5.62
data,4.34
et,6.81
performance,6.12
sportive,4.23
retrouvez,5.0
le,7.76
dossier,4.72
du,7.73
mois,6.3
de,6.24
février,6.67
du,7.73
https,4.56
t,6.09
co,6.35
vhhaloylcw,5.0
https,4.56
t,6.09
co,6.35
142,4.28
le,7.76
retour,6.55
de,6.24
l,6.15
homme,7.1
sans,5.94
bras,6.6
coucou,5.0
xd,6.21
143,3.79
rt,5.62
pour,6.17
les,6.43
gosses,5.0
voyez,5.0
avec,6.72
le,7.76
hamas,4.63
au,7.33
lieu,6.05
de,6.24
diffamer,5.0
https,4.56
t,6.09
co,6.35
hr8kimtdx8,5.0
144,3.85
rt,5.62
retour,6.55
sur,6.28
la,5.78
rencontre,5.51
haletante,5.0
entre,5.2
le,7.76
hcmag,5.0
et,6.81
chamonix,4.59
https,4.56
t,6.09
co,6.35
qfu3jdha7u,5.0
hockey,5.66
https,4.56
t,6.09
co,6.35
s,5.9
145,4.01
rt,5.62
le,7.76
tu,5.59
te,6.87
tais,4.7
dans,6.67
plus,6.56
belle,7.48
la,5.78
vie,6.28
tutetais,5.0
https,4.56
t,6.09
co,6.35
omtzkhn0lb,5.0
146,4.23
ça,5.21
se,5.9
déroule,5.0
aujourd,5.45
hui,5.15
jusqu,5.2
à,7.29
17,5.42
h,6.41
les,6.43
intervenants,5.0
de,6.24
partout,5.31
au,7.33
pays,5.0
y,5.74
sont,6.13
le,7.76
ministre,5.78
min,5.69
mccallum,5.86
sera,6.05
là,6.05
cet,5.44
pm,5.45
147,3.3
nouvelle,5.39
bande,4.85
annonce,5.0
le,7.76
monde,6.69
de,6.24
dory,7.4
le,7.76
poisson,5.36
amnésique,5.0
sur,6.28
les,6.43
traces,4.25
de,6.24
son,6.73
passé,6.38
allociné,5.0
https,4.56
t,6.09
co,6.35
1a8th6cvch,5.0
culture,5.38
148,3.43
rt,5.62
quand,5.21
est,6.17
ce,6.34
qu,6.09
oda,6.04
nous,6.33
offre,5.0
un,4.86
arc,5.65
avec,6.72
des,5.91
combats,2.89
comme,6.58
contre,4.51
le,7.76
cp9,5.0
onepiece,5.0
https,4.56
t,6.09
co,6.35
cr2zh4tnr9,5.0
149,4.23
rt,5.62
mouhaha,5.0
je,6.19
dirige,3.58
le,7.76
monde,6.69
https,4.56
t,6.09
co,6.35
ozvi7yvpil,5.0
150,4.49
quand,5.21
j,6.62
sais,4.66
que,5.08
j,6.62
ai,5.57
pas,5.86
de,6.24
cours,6.41
le,7.76
jour,7.03
de,6.24
la,5.78
rentrée,5.0
que,5.08
c,6.35
est,6.17
mon,6.36
anniversaire,5.79
et,6.81
que,5.08
